71-89,66-70
15-90,05-90
10-63,10-62
03-04,05-77
18-41,23-62
32-80,33-79
17-17,17-89
63-83,15-83
05-82,05-82
51-60,51-82
01-82,01-82
09-14,13-97
10-99,13-99
70-89,88-97
84-89,83-90
80-86,25-85
29-88,29-89
05-68,10-68
95-96,47-78
26-95,26-96
01-02,02-87
32-57,21-58
03-99,02-03
93-93,50-94
62-96,62-89
52-82,52-81
27-82,27-27
39-79,38-39
17-97,16-97
02-90,01-91
43-48,43-52
05-25,09-25
04-95,04-05
14-59,13-59
44-81,43-43
95-96,20-96
13-14,11-14
26-91,20-91
23-64,64-64
20-95,21-21
04-85,04-84
17-60,15-60
79-80,66-79
78-95,78-90
34-38,33-38
41-49,48-49
04-44,03-44
68-68,10-69
04-83,82-84
86-88,12-87
02-37,36-75
07-57,58-81
11-13,12-99
06-93,05-90
28-84,29-56
06-93,03-03
35-63,36-72
07-07,07-55
27-44,19-44
41-86,30-80
01-82,02-81
01-03,03-92
02-10,04-52
12-98,08-11
05-10,04-27
47-79,46-46
47-96,97-98
74-82,74-75
36-95,11-35
10-18,17-24
32-34,33-48
09-83,09-83
07-92,19-92
12-92,12-86
07-81,07-82
24-74,38-73
19-26,01-26
05-11,04-11
13-82,14-81
33-98,32-33
30-97,96-96
28-79,79-81
60-91,59-86
50-94,50-94
74-98,57-73
05-85,04-37
04-90,03-71
22-76,22-76
48-51,51-65
04-56,05-55
02-72,46-71
18-99,17-93
98-99,03-98
14-66,14-79
12-73,13-72
16-19,02-17
02-98,03-98
65-97,65-96
09-38,37-38
09-55,10-95
49-65,26-66
07-85,07-86
18-20,07-19
33-73,33-73
18-89,35-56
01-81,01-71
18-65,17-65
84-97,59-94
10-73,72-73
02-90,03-66
13-41,04-29
01-99,86-99
20-96,19-68
84-85,83-85
27-92,27-92
20-70,19-19
11-96,12-97
35-86,34-36
08-09,08-22
09-72,08-72
05-89,05-57
46-58,57-59
41-41,42-75
32-84,31-88
39-91,90-91
06-39,05-60
51-69,70-83
05-78,32-75
08-92,08-08
02-03,04-81
70-95,14-95
10-15,16-72
26-64,29-63
26-83,27-82
48-93,44-47
76-90,76-91
73-99,74-74
09-71,08-41
13-13,13-91
32-81,32-80
09-95,09-95
97-99,84-96
90-91,52-90
02-96,02-97
73-99,02-97
06-33,07-27
09-67,10-67
47-48,47-59
03-87,87-99
35-53,49-64
40-98,41-93
52-86,33-85
23-55,89-91
29-90,91-96
05-69,05-69
27-29,28-68
14-33,81-88
02-79,79-98
34-92,93-94
01-66,02-66
08-96,07-97
12-96,97-98
78-92,10-88
86-86,02-87
11-65,02-64
19-42,20-41
02-34,34-93
36-42,36-43
10-86,11-78
02-22,02-71
08-20,19-95
05-99,06-89
06-18,06-06
03-06,10-81
69-71,69-69
52-62,52-62
79-98,79-98
49-93,49-70
10-97,10-97
23-32,12-24
07-08,08-94
37-98,97-97
02-80,02-79
33-82,18-98
53-65,54-90
68-95,68-96
07-08,07-14
24-92,24-91
31-36,32-48
13-83,13-82
23-54,53-53
43-52,10-43
24-66,23-94
19-51,49-68
66-72,39-66
23-67,66-67
34-80,48-79
83-96,33-82
79-90,33-95
10-96,09-78
12-97,96-99
10-44,13-96
02-94,93-93
05-94,05-94
71-95,74-97
60-95,59-96
86-95,14-86
04-99,04-54
12-47,13-13
23-34,22-34
49-96,49-86
37-59,37-59
01-04,03-94
09-91,09-91
57-99,45-57
08-13,11-13
11-85,84-85
47-92,48-92
04-89,05-89
04-30,29-31
10-65,09-64
60-63,62-92
43-78,23-42
16-46,45-47
26-95,95-96
63-63,12-64
21-47,20-47
14-97,20-98
06-90,06-86
71-83,13-72
64-91,83-90
05-08,05-07
42-84,41-98
30-59,29-60
06-92,05-95
05-39,04-40
71-85,16-70
02-92,02-91
08-91,20-91
72-99,03-71
31-82,97-98
78-89,77-90
48-89,47-89
63-64,64-64
24-74,73-88
01-97,98-99
73-82,72-82
13-29,30-98
11-41,11-12
36-53,33-52
46-90,66-89
04-07,08-87
05-45,46-91
11-39,12-78
42-93,41-85
40-91,40-91
23-27,23-51
03-20,03-21
64-91,48-91
57-62,86-91
05-21,22-89
45-86,43-86
94-97,54-93
13-61,60-60
25-98,19-97
34-37,36-37
97-98,16-96
04-96,24-95
02-55,01-92
62-65,61-73
21-52,20-21
43-85,85-86
02-95,02-95
10-92,09-92
08-99,09-98
23-76,77-90
18-18,01-19
47-59,46-60
78-84,77-81
23-98,24-96
02-61,01-60
37-57,37-56
58-74,58-58
28-68,27-67
16-84,17-84
01-36,01-36
62-63,14-63
22-99,23-98
01-86,85-86
47-98,46-82
04-72,05-72
41-82,41-79
64-95,64-93
14-98,13-95
38-83,35-83
69-70,26-69
01-99,02-72
18-20,19-82
12-34,11-34
68-94,95-95
59-89,89-90
71-73,73-75
58-78,18-92
32-73,21-33
31-91,90-91
28-90,89-90
54-56,77-94
15-15,16-79
57-88,24-57
08-96,07-82
05-50,05-50
34-53,54-54
75-75,62-76
01-99,02-49
04-04,03-61
16-51,17-52
19-99,04-44
20-75,19-20
36-57,21-35
09-99,09-96
15-61,38-61
98-98,99-99
02-94,13-94
15-52,16-51
10-98,12-98
01-44,01-89
04-97,03-97
20-36,21-36
28-29,29-79
01-76,01-74
69-69,69-94
47-47,47-59
15-22,21-91
57-57,57-80
11-11,11-35
06-59,58-64
15-70,15-71
52-79,51-64
60-65,55-64
20-55,21-54
26-75,99-99
82-82,48-83
04-81,82-82
12-45,44-45
03-80,02-81
11-98,01-12
21-41,35-41
41-93,40-40
87-99,01-87
11-82,11-82
05-86,04-08
93-93,05-77
11-94,01-10
38-58,39-58
63-64,35-62
02-98,03-56
09-75,76-77
52-85,52-85
32-36,32-36
44-87,43-84
04-85,84-85
85-96,12-95
02-66,26-66
23-33,08-22
16-92,15-80
72-86,72-86
08-42,07-07
14-53,15-53
04-78,08-78
41-98,27-99
33-40,04-39
12-78,13-89
09-93,10-93
91-98,92-98
30-90,29-69
33-50,02-34
22-89,23-89
28-93,93-99
05-45,04-45
12-85,86-91
52-99,52-99
14-81,82-92
03-98,04-69
64-92,08-99
01-90,05-90
38-77,26-91
49-65,35-42
03-94,04-74
04-58,04-04
02-96,95-97
02-99,03-98
21-94,20-95
11-76,12-75
02-96,92-95
44-76,41-76
05-93,06-92
85-90,20-89
05-13,12-28
97-97,96-98
34-87,34-88
14-27,14-35
79-80,17-79
06-23,22-52
05-78,72-83
25-80,26-46
51-79,90-97
28-80,77-80
87-90,24-89
89-90,71-90
16-96,16-23
32-86,31-31
09-83,09-10
46-53,52-53
28-93,92-93
41-50,40-48
48-64,47-71
05-23,03-06
44-85,07-85
30-57,29-58
05-95,08-90
06-95,12-95
29-95,29-99
15-44,14-14
28-94,28-97
08-08,07-08
35-35,36-67
35-88,71-93
89-90,27-90
89-91,30-90
57-82,56-57
24-74,19-74
02-95,02-95
55-91,54-91
86-89,87-91
30-81,30-81
52-77,53-66
05-91,75-90
41-77,50-77
52-73,34-69
33-37,32-37
40-71,74-85
09-34,33-33
95-95,25-96
12-50,51-95
16-65,53-60
15-75,16-27
06-33,06-07
10-30,36-57
10-60,02-60
28-58,57-94
16-62,15-62
96-98,10-97
19-28,08-47
04-94,93-93
02-96,95-96
58-60,36-59
08-62,13-98
21-96,21-34
11-50,11-50
49-93,95-97
06-76,08-99
65-99,65-92
13-66,03-54
13-95,94-94
57-96,57-96
42-85,57-84
26-81,25-82
54-98,54-86
03-84,83-92
07-72,08-51
67-83,67-71
06-34,14-39
01-47,01-47
97-97,12-94
02-89,02-98
12-16,15-87
30-59,31-59
78-82,80-83
14-69,09-70
09-97,09-99
45-68,44-69
24-51,47-48
48-48,48-68
75-77,47-53
07-73,07-73
09-72,08-66
39-70,38-71
39-69,68-98
26-94,26-93
14-63,15-62
19-61,61-62
07-15,11-99
01-73,02-51
44-90,90-91
54-97,96-98
01-93,11-20
34-70,35-69
11-11,11-87
08-73,08-73
15-23,24-85
42-57,43-99
23-29,13-67
99-99,01-54
65-66,21-65
23-38,23-75
84-94,18-94
10-63,11-62
33-35,34-38
68-70,04-69
04-08,07-94
20-95,20-54
11-99,04-44
20-97,03-97
07-85,85-96
44-85,45-84
09-17,05-10
82-97,22-81
04-98,03-98
17-80,17-75
22-49,22-49
94-99,27-91
49-91,17-50
20-30,36-49
08-84,83-84
59-91,60-73
76-93,02-97
05-48,05-94
22-67,21-21
03-04,04-05
20-95,21-99
21-86,85-87
38-44,36-43
02-90,91-99
60-67,03-60
03-58,04-57
46-84,46-82
13-13,14-95
30-74,73-74
24-34,24-34
04-98,05-98
06-07,02-06
41-98,42-98
16-58,57-85
86-90,61-86
02-85,02-84
07-90,90-93
25-65,26-30
41-69,12-70
31-88,32-87
10-87,10-87
04-29,04-98
08-40,30-40
26-82,25-82
89-90,88-89
04-13,09-14
10-65,06-07
06-13,13-99
75-79,45-79
06-98,09-89
06-55,54-58
02-78,25-78
03-98,03-98
95-95,06-94
09-78,77-77
56-57,56-58
49-87,24-66
47-47,47-73
33-35,06-34
30-80,36-80
30-30,31-81
99-99,68-74
02-99,03-98
14-92,10-15
16-31,18-51
95-97,02-94
31-31,15-32
98-99,68-93
14-71,14-15
05-39,14-38
47-54,53-55
37-64,37-37
58-78,10-58
40-88,41-41
68-99,16-94
25-25,26-58
84-87,01-99
72-87,72-78
49-81,48-49
01-99,02-99
24-91,25-93
12-81,11-58
01-16,15-50
12-26,12-26
17-80,17-79
94-96,38-95
01-84,83-84
20-82,20-20
03-86,02-95
19-98,60-94
09-45,45-50
08-57,09-12
15-18,18-83
01-01,01-15
85-96,84-95
01-40,40-78
57-58,30-58
48-90,57-89
26-51,27-86
02-86,85-86
25-78,26-77
82-99,81-97
01-14,13-97
76-96,75-97
66-94,64-97
34-60,38-61
80-95,22-81
51-80,51-80
02-78,01-78
43-46,45-69
75-85,76-76
33-65,32-32
15-96,14-96
68-86,67-71
12-26,12-16
01-51,03-43
87-88,27-88
17-99,16-99
09-36,20-24
25-32,24-32
32-32,32-76
77-92,52-78
04-79,04-82
38-61,54-59
38-99,38-99
94-98,54-95
80-96,02-95
08-97,08-97
07-28,08-22
66-82,83-91
33-48,49-83
03-03,04-83
76-90,77-90
34-62,34-61
40-87,16-27
01-98,02-98
55-96,95-98
05-99,05-05
36-97,10-98
12-94,93-94
72-78,71-78
13-18,14-18
47-76,75-76
21-96,21-95
69-96,68-87
27-64,28-62
19-40,25-39
04-59,04-98
10-66,10-67
16-82,17-82
07-99,03-99
18-30,17-92
86-99,24-52
19-77,20-77
97-97,93-94
11-33,10-11
84-96,53-95
03-85,04-91
15-52,16-53
86-90,52-56
33-76,33-76
03-98,17-92
79-79,04-80
85-85,02-84
13-94,94-96
60-84,90-93
93-97,15-98
09-54,10-53
28-59,27-98
12-85,11-65
59-67,58-67
20-50,20-65
63-65,16-64
76-96,75-75
23-91,24-91
03-99,03-97
25-48,26-48
48-48,49-87
15-96,01-16
09-79,25-78
52-61,62-84
06-85,07-84
54-77,53-78
01-99,01-99
59-96,60-96
12-45,12-46
22-87,03-87
36-98,36-74
56-56,22-57
94-95,99-99
07-92,08-83
13-94,14-93
22-90,89-89
46-94,83-87
11-76,75-78
03-94,03-95
04-14,05-52
90-92,66-83
46-61,46-47
22-23,22-90
47-47,48-53
89-91,16-90
42-93,93-94
09-61,60-94
01-01,01-67
03-38,02-99
46-98,47-97
96-97,01-95
08-54,55-92
52-72,53-71
